"sex","agegr","edu","socprof","marital","depress","trust","trustfam","trustneigh","income","weight"
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",13,"ONE CAN`T BE TOO CAREFUL","YES","YES",800,58
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",5,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8,75
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",4000,74
"MALE","25-34","SECONDARY","UNEMPLOYED","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA,86
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2000,70
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","WIDOWED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",1750,84
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO",2500,89
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","NO","NO",1500,85
"FEMALE","25-34","POST-SECONDARY OR HIGHER","FARMER","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA,56
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",-8,80
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200,60
"MALE","60-64","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",3,"MOST PEOPLE CAN BE TRUSTED","YES","NO",150,80
"FEMALE","60-64","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",810,47
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",18,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000,NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500,70
"FEMALE","25-34","SECONDARY","OTHER ECONOMICALLY INACTIVE","SINGLE",2,"IT`S DIFFICULT TO TELL","YES","NO",NA,55
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA,50
"FEMALE","65+","SECONDARY","RETIRED","WIDOWED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1050,50
"FEMALE","25-34","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","NO","NO",580,70
"MALE","45-59","PRIMARY/NO EDUCATION","UNEMPLOYED","DIVORCED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200,87
"FEMALE","60-64","SECONDARY","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300,56
