sex,agegr,edu,socprof,marital,depress,trust,trustfam,trustneigh,income,weight
FEMALE,45-59,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,6,ONE CAN`T BE TOO CAREFUL,YES,NO,800,89
MALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,0,IT`S DIFFICULT TO TELL,YES,NO OPINION,350,82
FEMALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,NO,NA,50
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,16,ONE CAN`T BE TOO CAREFUL,NO,YES,900,78
FEMALE,45-59,VOCATIONAL/GRAMMAR,SELF-EMPLOYED,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,1500,50
MALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,5,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,-8,65
FEMALE,35-44,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2000,68
MALE,35-44,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,1197,86
FEMALE,35-44,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,580,54
FEMALE,60-64,SECONDARY,RETIRED,MARRIED,6,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,65
FEMALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,1500,77
FEMALE,65+,VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,WIDOWED,6,ONE CAN`T BE TOO CAREFUL,YES,YES,1700,78
FEMALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,WIDOWED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,2000,75
MALE,25-34,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,900,74
MALE,65+,SECONDARY,RETIRED,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,65
MALE,60-64,PRIMARY/NO EDUCATION,FARMER,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,NA
MALE,65+,PRIMARY/NO EDUCATION,RETIRED,SINGLE,11,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO OPINION,2000,56
FEMALE,65+,SECONDARY,RETIRED,DIVORCED,11,IT`S DIFFICULT TO TELL,NO,NO,1400,75
MALE,45-59,PRIMARY/NO EDUCATION,UNEMPLOYED,MARRIED,1,IT`S DIFFICULT TO TELL,YES,NO,560,70
MALE,45-59,VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,530,78
FEMALE,60-64,VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,MARRIED,8,ONE CAN`T BE TOO CAREFUL,YES,YES,700,100
MALE,25-34,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1000,97
FEMALE,45-59,POST-SECONDARY OR HIGHER,SELF-EMPLOYED,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,60
FEMALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,3500,59
MALE,25-34,VOCATIONAL/GRAMMAR,SELF-EMPLOYED,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1600,75
MALE,45-59,SECONDARY,RETIRED,MARRIED,9,MOST PEOPLE CAN BE TRUSTED,YES,YES,1300,68
FEMALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,1,ONE CAN`T BE TOO CAREFUL,YES,YES,1500,58
FEMALE,35-44,SECONDARY,LONG-TERM SICK/DISABLED,SINGLE,4,ONE CAN`T BE TOO CAREFUL,YES,YES,1300,52
MALE,16-24,PRIMARY/NO EDUCATION,PUPIL OR STUDENT,SINGLE,2,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,NA,50
FEMALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,DIVORCED,1,MOST PEOPLE CAN BE TRUSTED,YES,YES,2000,57
FEMALE,65+,SECONDARY,RETIRED,MARRIED,12,ONE CAN`T BE TOO CAREFUL,YES,YES,1157,99
MALE,16-24,PRIMARY/NO EDUCATION,UNEMPLOYED,SINGLE,1,MOST PEOPLE CAN BE TRUSTED,NO OPINION,NO OPINION,NA,75
FEMALE,35-44,PRIMARY/NO EDUCATION,FARMER,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,67
MALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,2,MOST PEOPLE CAN BE TRUSTED,NO,YES,4000,110
FEMALE,35-44,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,1,MOST PEOPLE CAN BE TRUSTED,YES,YES,800,53
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,6,IT`S DIFFICULT TO TELL,YES,YES,1200,64
MALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,-8,86
MALE,65+,SECONDARY,RETIRED,MARRIED,7,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,106
FEMALE,35-44,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NA,66
MALE,60-64,SECONDARY,LONG-TERM SICK/DISABLED,SINGLE,10,ONE CAN`T BE TOO CAREFUL,YES,NO,900,75
MALE,65+,SECONDARY,RETIRED,MARRIED,2,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,1500,76
FEMALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,7,MOST PEOPLE CAN BE TRUSTED,YES,YES,2000,75
MALE,25-34,POST-SECONDARY OR HIGHER,UNEMPLOYED,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NA,80
MALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,16,ONE CAN`T BE TOO CAREFUL,YES,YES,940,75
FEMALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,YES,NA,60
MALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,1890,82
FEMALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,DIVORCED,4,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1050,63
MALE,60-64,POST-SECONDARY OR HIGHER,RETIRED,MARRIED,8,ONE CAN`T BE TOO CAREFUL,YES,NO,1600,70
FEMALE,25-34,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,NO,1600,60
FEMALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,62
MALE,16-24,SECONDARY,UNEMPLOYED,SINGLE,0,IT`S DIFFICULT TO TELL,YES,YES,-8,80
MALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,YES,1600,68
FEMALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,NO,-8,60
FEMALE,35-44,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,60
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,12,ONE CAN`T BE TOO CAREFUL,YES,YES,1200,80
MALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,2300,101
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,1700,85
FEMALE,45-59,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NA,57
MALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,5,IT`S DIFFICULT TO TELL,YES,YES,3000,90
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,3,IT`S DIFFICULT TO TELL,YES,YES,2000,90
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,8,ONE CAN`T BE TOO CAREFUL,YES,YES,901,67
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,13,ONE CAN`T BE TOO CAREFUL,YES,YES,1040,82
FEMALE,60-64,SECONDARY,RETIRED,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,YES,750,70
FEMALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NA,48
MALE,25-34,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,NO,3500,85
FEMALE,45-59,POST-SECONDARY OR HIGHER,RETIRED,DIVORCED,10,IT`S DIFFICULT TO TELL,YES,NO,1200,72
FEMALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,1,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,NA,63
FEMALE,45-59,VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NA,75
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,DIVORCED,14,ONE CAN`T BE TOO CAREFUL,NO,NO,953,82
FEMALE,45-59,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,MARRIED,8,ONE CAN`T BE TOO CAREFUL,YES,NO,680,100
FEMALE,45-59,POST-SECONDARY OR HIGHER,SELF-EMPLOYED,MARRIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,64
FEMALE,35-44,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,15,IT`S DIFFICULT TO TELL,NO,NO,3000,66
MALE,45-59,PRIMARY/NO EDUCATION,UNEMPLOYED,WIDOWED,9,IT`S DIFFICULT TO TELL,YES,YES,100,55
MALE,35-44,PRIMARY/NO EDUCATION,EMPLOYED IN PRIVATE SECTOR,SINGLE,4,IT`S DIFFICULT TO TELL,NO,NO,1100,84
FEMALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO,1000,70
FEMALE,35-44,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,2000,63
MALE,60-64,SECONDARY,RETIRED,MARRIED,11,ONE CAN`T BE TOO CAREFUL,YES,YES,3500,79
MALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,SINGLE,1,ONE CAN`T BE TOO CAREFUL,YES,NO,2000,80
MALE,25-34,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,SINGLE,3,IT`S DIFFICULT TO TELL,NO,NO,-8,90
FEMALE,65+,POST-SECONDARY OR HIGHER,RETIRED,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,1880,65
MALE,25-34,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,2420,60
MALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,IT`S DIFFICULT TO TELL,YES,YES,3000,90
